#OTU ID,vc,calculated_rc
4b5eeb300368260019c1fbc7a3c718fc,100.0,156.19651502731153
fe30ff0f71a38a39cf1717ec2be3a2fc,200.0,247.94651226812098
d29fe3c70564fc0f69f2c03e0d1e5561,300.0,324.9018441253944
868528ca947bc57b69ffdf83e6b73bae,400.0,393.59055440626133
154709e160e8cada6bfb21115acc80f5,500.0,456.7213805868914
1d2e5f3444ca750c85302ceee2473331,600.0,515.7495291510589
0305a4993ecf2d8ef4149fdfc7592603,700.0,571.57079932513
cb2fe0146e2fbcb101050edb996a0ee2,800.0,624.7860601092461
997056ba80681bbbdd5d09aa591eadc0,900.0,675.8230700449641
3c9c437f27aca05f8db167cd080ff1ec,1000.0,724.9999999999998
9079bfebcce01d4b5c758067b1208c31,1100.0,772.5616216557926
bfbed36e63b69fec4627424163d20118,1200.0,818.7013451264946
90d32ffe026535b392c0bad850f213c4,1300.0,863.5753582674134
ab4ef4399912b0507d8d1187e874684d,1400.0,907.3120881230159
d86ef5d6394f5dbeb945f39aa25e7426,1500.0,950.0187554007248
a049763053c277b16c2a318f41eb23b4,1600.0,991.7860490724839
699071a4a7ce68918e4cd93a61275ecd,1700.0,1032.6915438244714
cdd14cce4ec44b3235923652b71e947e,1800.0,1072.802252333754
7e598ad34909a3fb8ff1623f1ede11a6,1900.0,1112.1765671747137
b44621e5c80607cdfacbf7a81e1cbe41,2000.0,1150.8657626769443
e8e6b7fc969005938de8ac7ffb94f17c,2100.0,1188.915173405049
